metric,value,category,model
silhouette_batch_lung_spleen_gse319044,-0.00030559315795653105,per_study,immune_integration_rna_dwl2_01_bias_mean_batchbg02_repeat2
silhouette_label,0.009325897289905188,global,immune_integration_rna_dwl2_01_fsprior5
silhouette_batch,-0.010955364974654644,global,immune_integration_rna_dwl2_01_fsprior5
ARI_leiden_vs_label,0.1035936541076599,global,immune_integration_rna_dwl2_01_fsprior5
NMI_leiden_vs_label,0.4239661244462324,global,immune_integration_rna_dwl2_01_fsprior5
iLISI_median,11.514277481187268,global,immune_integration_rna_dwl2_01_fsprior5
iLISI_mean,12.391017749282666,global,immune_integration_rna_dwl2_01_fsprior5
cLISI_median,2.391442564972463,global,immune_integration_rna_dwl2_01_fsprior5
cLISI_mean,2.6532342487878866,global,immune_integration_rna_dwl2_01_fsprior5
LISI_subsample_n,31420.0,global,immune_integration_rna_dwl2_01_fsprior5
silhouette_batch_bone_marrow,-0.011848539289892879,per_study,immune_integration_rna_dwl2_01_fsprior5
silhouette_batch_crohns_pbmc,-0.00436221258956656,per_study,immune_integration_rna_dwl2_01_fsprior5
silhouette_batch_lung_spleen_gse319044,-0.0007726936192181697,per_study,immune_integration_rna_dwl2_01_fsprior5
silhouette_label,0.008905203281431451,global,immune_integration_rna_dwl2_01_no_init_fsprior5
silhouette_batch,-0.010709587524438234,global,immune_integration_rna_dwl2_01_no_init_fsprior5
ARI_leiden_vs_label,0.120368235712985,global,immune_integration_rna_dwl2_01_no_init_fsprior5
NMI_leiden_vs_label,0.4392690622982743,global,immune_integration_rna_dwl2_01_no_init_fsprior5
iLISI_median,10.55250868940876,global,immune_integration_rna_dwl2_01_no_init_fsprior5
iLISI_mean,11.581881202935898,global,immune_integration_rna_dwl2_01_no_init_fsprior5
cLISI_median,2.3019308847283835,global,immune_integration_rna_dwl2_01_no_init_fsprior5
cLISI_mean,2.5948489734543254,global,immune_integration_rna_dwl2_01_no_init_fsprior5
LISI_subsample_n,31420.0,global,immune_integration_rna_dwl2_01_no_init_fsprior5
silhouette_batch_bone_marrow,-0.013286224729859353,per_study,immune_integration_rna_dwl2_01_no_init_fsprior5
silhouette_batch_crohns_pbmc,-0.0014339298685026882,per_study,immune_integration_rna_dwl2_01_no_init_fsprior5
silhouette_batch_lung_spleen_gse319044,-0.002130840465686376,per_study,immune_integration_rna_dwl2_01_no_init_fsprior5
silhouette_label,0.011350236557512512,global,immune_integration_rna_dwl2_1
silhouette_batch,-0.01235072301387644,global,immune_integration_rna_dwl2_1
ARI_leiden_vs_label,0.09818463283806897,global,immune_integration_rna_dwl2_1
NMI_leiden_vs_label,0.43558312904773316,global,immune_integration_rna_dwl2_1
iLISI_median,9.070202951997196,global,immune_integration_rna_dwl2_1
iLISI_mean,9.913505347534626,global,immune_integration_rna_dwl2_1
cLISI_median,2.266208027316723,global,immune_integration_rna_dwl2_1
cLISI_mean,2.544527880140557,global,immune_integration_rna_dwl2_1
LISI_subsample_n,31420.0,global,immune_integration_rna_dwl2_1
silhouette_batch_bone_marrow,-0.013121406045918271,per_study,immune_integration_rna_dwl2_1
silhouette_batch_crohns_pbmc,-0.004899134040573835,per_study,immune_integration_rna_dwl2_1
silhouette_batch_lung_spleen_gse319044,0.0007219360371947195,per_study,immune_integration_rna_dwl2_1
silhouette_label,0.0074223647353841736,global,immune_integration_rna_embryo_es1
silhouette_batch,-0.019365991945510953,global,immune_integration_rna_embryo_es1
ARI_leiden_vs_label,0.06040742654615447,global,immune_integration_rna_embryo_es1
NMI_leiden_vs_label,0.3733669845024598,global,immune_integration_rna_embryo_es1
iLISI_median,8.844103659142856,global,immune_integration_rna_embryo_es1
iLISI_mean,9.405892977809545,global,immune_integration_rna_embryo_es1
cLISI_median,2.526317421988642,global,immune_integration_rna_embryo_es1
cLISI_mean,2.7945837163016334,global,immune_integration_rna_embryo_es1
LISI_subsample_n,31420.0,global,immune_integration_rna_embryo_es1
silhouette_batch_bone_marrow,-0.015421045951048241,per_study,immune_integration_rna_embryo_es1
silhouette_batch_crohns_pbmc,-0.01253756101899264,per_study,immune_integration_rna_embryo_es1
silhouette_batch_lung_spleen_gse319044,-0.001616609593122126,per_study,immune_integration_rna_embryo_es1
silhouette_label,0.00836594383343071,global,immune_integration_rna_embryo_es2
silhouette_batch,-0.009088968702618775,global,immune_integration_rna_embryo_es2
ARI_leiden_vs_label,0.11328574513937621,global,immune_integration_rna_embryo_es2
NMI_leiden_vs_label,0.44570377299337754,global,immune_integration_rna_embryo_es2
iLISI_median,12.900936845326312,global,immune_integration_rna_embryo_es2
iLISI_mean,13.685885600763859,global,immune_integration_rna_embryo_es2
cLISI_median,2.3181883880913534,global,immune_integration_rna_embryo_es2
cLISI_mean,2.577418903644191,global,immune_integration_rna_embryo_es2
LISI_subsample_n,31420.0,global,immune_integration_rna_embryo_es2
silhouette_batch_bone_marrow,-0.011376005232750858,per_study,immune_integration_rna_embryo_es2
silhouette_batch_crohns_pbmc,-0.005822931123206532,per_study,immune_integration_rna_embryo_es2
silhouette_batch_lung_spleen_gse319044,0.00014355084861664597,per_study,immune_integration_rna_embryo_es2
silhouette_label,0.014320781013613495,global,immune_integration_rna_embryo_es2_ep47
silhouette_batch,-0.00625363363273611,global,immune_integration_rna_embryo_es2_ep47
ARI_leiden_vs_label,0.183190236460571,global,immune_integration_rna_embryo_es2_ep47
NMI_leiden_vs_label,0.551027569217042,global,immune_integration_rna_embryo_es2_ep47
iLISI_median,7.684764594600058,global,immune_integration_rna_embryo_es2_ep47
iLISI_mean,9.999233644536954,global,immune_integration_rna_embryo_es2_ep47
cLISI_median,1.6644086669976137,global,immune_integration_rna_embryo_es2_ep47
cLISI_mean,1.85547312566974,global,immune_integration_rna_embryo_es2_ep47
LISI_subsample_n,31420.0,global,immune_integration_rna_embryo_es2_ep47
silhouette_batch_bone_marrow,-0.009616440200131814,per_study,immune_integration_rna_embryo_es2_ep47
silhouette_batch_crohns_pbmc,-0.0018659032924516943,per_study,immune_integration_rna_embryo_es2_ep47
silhouette_batch_lung_spleen_gse319044,0.002009864050925429,per_study,immune_integration_rna_embryo_es2_ep47
silhouette_label,0.030067478933405632,global,immune_integration_rna_embryo_es2_ep47_small
silhouette_batch,-0.011335589792270966,global,immune_integration_rna_embryo_es2_ep47_small
ARI_leiden_vs_label,0.19534451514766477,global,immune_integration_rna_embryo_es2_ep47_small
NMI_leiden_vs_label,0.5782563424451704,global,immune_integration_rna_embryo_es2_ep47_small
iLISI_median,6.1682138622685425,global,immune_integration_rna_embryo_es2_ep47_small
iLISI_mean,8.655072964922901,global,immune_integration_rna_embryo_es2_ep47_small
cLISI_median,1.3198122056326693,global,immune_integration_rna_embryo_es2_ep47_small
cLISI_mean,1.5157799206968545,global,immune_integration_rna_embryo_es2_ep47_small
LISI_subsample_n,31420.0,global,immune_integration_rna_embryo_es2_ep47_small
silhouette_batch_bone_marrow,-0.01189382484964913,per_study,immune_integration_rna_embryo_es2_ep47_small
silhouette_batch_crohns_pbmc,-0.002094409627692529,per_study,immune_integration_rna_embryo_es2_ep47_small
silhouette_batch_lung_spleen_gse319044,0.005863932008640312,per_study,immune_integration_rna_embryo_es2_ep47_small
silhouette_label,0.008973608446708164,global,immune_integration_rna_embryo_es2_no_tea
silhouette_batch,-0.00949131610085831,global,immune_integration_rna_embryo_es2_no_tea
ARI_leiden_vs_label,0.10371997418928748,global,immune_integration_rna_embryo_es2_no_tea
NMI_leiden_vs_label,0.4466696491326555,global,immune_integration_rna_embryo_es2_no_tea
iLISI_median,12.628136712192976,global,immune_integration_rna_embryo_es2_no_tea
iLISI_mean,13.628326633771684,global,immune_integration_rna_embryo_es2_no_tea
cLISI_median,2.2877112679001907,global,immune_integration_rna_embryo_es2_no_tea
cLISI_mean,2.562653680746363,global,immune_integration_rna_embryo_es2_no_tea
LISI_subsample_n,31420.0,global,immune_integration_rna_embryo_es2_no_tea
silhouette_batch_bone_marrow,-0.009922558931119272,per_study,immune_integration_rna_embryo_es2_no_tea
silhouette_batch_crohns_pbmc,-0.005841501871638881,per_study,immune_integration_rna_embryo_es2_no_tea
silhouette_batch_lung_spleen_gse319044,-0.0010743822884283708,per_study,immune_integration_rna_embryo_es2_no_tea
silhouette_label,0.008495327664808613,global,immune_integration_rna_embryo_es2_no_tea_disp1
silhouette_batch,-0.00801713931427287,global,immune_integration_rna_embryo_es2_no_tea_disp1
ARI_leiden_vs_label,0.2650597580878814,global,immune_integration_rna_embryo_es2_no_tea_disp1
NMI_leiden_vs_label,0.5418104225114984,global,immune_integration_rna_embryo_es2_no_tea_disp1
iLISI_median,15.524214224790828,global,immune_integration_rna_embryo_es2_no_tea_disp1
iLISI_mean,15.959381294026986,global,immune_integration_rna_embryo_es2_no_tea_disp1
cLISI_median,2.424319040677762,global,immune_integration_rna_embryo_es2_no_tea_disp1
cLISI_mean,2.6597401666264084,global,immune_integration_rna_embryo_es2_no_tea_disp1
LISI_subsample_n,31420.0,global,immune_integration_rna_embryo_es2_no_tea_disp1
silhouette_batch_bone_marrow,-0.009253500448337766,per_study,immune_integration_rna_embryo_es2_no_tea_disp1
silhouette_batch_crohns_pbmc,-0.004506159822540528,per_study,immune_integration_rna_embryo_es2_no_tea_disp1
silhouette_batch_lung_spleen_gse319044,-0.0027173502941972094,per_study,immune_integration_rna_embryo_es2_no_tea_disp1
silhouette_label,0.01177228075210668,global,immune_integration_rna_embryo_es2_no_tea_disp1_dwl2_1
silhouette_batch,-0.010005765927711055,global,immune_integration_rna_embryo_es2_no_tea_disp1_dwl2_1
ARI_leiden_vs_label,0.2769013925667649,global,immune_integration_rna_embryo_es2_no_tea_disp1_dwl2_1
NMI_leiden_vs_label,0.5623460132181719,global,immune_integration_rna_embryo_es2_no_tea_disp1_dwl2_1
iLISI_median,11.661531974475249,global,immune_integration_rna_embryo_es2_no_tea_disp1_dwl2_1
iLISI_mean,12.619002393425914,global,immune_integration_rna_embryo_es2_no_tea_disp1_dwl2_1
cLISI_median,2.2774722911385705,global,immune_integration_rna_embryo_es2_no_tea_disp1_dwl2_1
cLISI_mean,2.518182849070919,global,immune_integration_rna_embryo_es2_no_tea_disp1_dwl2_1
LISI_subsample_n,31420.0,global,immune_integration_rna_embryo_es2_no_tea_disp1_dwl2_1
silhouette_batch_bone_marrow,-0.011787292704962996,per_study,immune_integration_rna_embryo_es2_no_tea_disp1_dwl2_1
silhouette_batch_crohns_pbmc,-0.006377810640414905,per_study,immune_integration_rna_embryo_es2_no_tea_disp1_dwl2_1
silhouette_batch_lung_spleen_gse319044,-0.0009349129866700907,per_study,immune_integration_rna_embryo_es2_no_tea_disp1_dwl2_1
silhouette_label,0.0090114811193503,global,immune_integration_rna_embryo_es2_no_tea_disp2
silhouette_batch,-0.007262875526249165,global,immune_integration_rna_embryo_es2_no_tea_disp2
ARI_leiden_vs_label,0.2865679014689593,global,immune_integration_rna_embryo_es2_no_tea_disp2
NMI_leiden_vs_label,0.5754305737840044,global,immune_integration_rna_embryo_es2_no_tea_disp2
iLISI_median,13.265060295452777,global,immune_integration_rna_embryo_es2_no_tea_disp2
iLISI_mean,14.201652867435199,global,immune_integration_rna_embryo_es2_no_tea_disp2
cLISI_median,2.2951488007811003,global,immune_integration_rna_embryo_es2_no_tea_disp2
cLISI_mean,2.540785756413739,global,immune_integration_rna_embryo_es2_no_tea_disp2
LISI_subsample_n,31420.0,global,immune_integration_rna_embryo_es2_no_tea_disp2
silhouette_batch_bone_marrow,-0.008935215310454152,per_study,immune_integration_rna_embryo_es2_no_tea_disp2
silhouette_batch_crohns_pbmc,-0.004414020010483521,per_study,immune_integration_rna_embryo_es2_no_tea_disp2
silhouette_batch_lung_spleen_gse319044,-0.0006389146282421878,per_study,immune_integration_rna_embryo_es2_no_tea_disp2
silhouette_label,0.01088911241525309,global,immune_integration_rna_embryo_es2_no_tea_disp2_dwl2_1
silhouette_batch,-0.01083823044295392,global,immune_integration_rna_embryo_es2_no_tea_disp2_dwl2_1
ARI_leiden_vs_label,0.2813855171666396,global,immune_integration_rna_embryo_es2_no_tea_disp2_dwl2_1
NMI_leiden_vs_label,0.569036645893235,global,immune_integration_rna_embryo_es2_no_tea_disp2_dwl2_1
iLISI_median,10.796150999714836,global,immune_integration_rna_embryo_es2_no_tea_disp2_dwl2_1
iLISI_mean,11.799984136625444,global,immune_integration_rna_embryo_es2_no_tea_disp2_dwl2_1
cLISI_median,2.226536316682475,global,immune_integration_rna_embryo_es2_no_tea_disp2_dwl2_1
cLISI_mean,2.4854811966589643,global,immune_integration_rna_embryo_es2_no_tea_disp2_dwl2_1
LISI_subsample_n,31420.0,global,immune_integration_rna_embryo_es2_no_tea_disp2_dwl2_1
silhouette_batch_bone_marrow,-0.012773866718921114,per_study,immune_integration_rna_embryo_es2_no_tea_disp2_dwl2_1
silhouette_batch_crohns_pbmc,-0.006460934254459931,per_study,immune_integration_rna_embryo_es2_no_tea_disp2_dwl2_1
silhouette_batch_lung_spleen_gse319044,-0.0001034831276792394,per_study,immune_integration_rna_embryo_es2_no_tea_disp2_dwl2_1
silhouette_label,0.011022695665345937,global,immune_integration_rna_embryo_es2_no_tea_dwl2_1
silhouette_batch,-0.011340341364811008,global,immune_integration_rna_embryo_es2_no_tea_dwl2_1
ARI_leiden_vs_label,0.10819700079314663,global,immune_integration_rna_embryo_es2_no_tea_dwl2_1
NMI_leiden_vs_label,0.4471590015468976,global,immune_integration_rna_embryo_es2_no_tea_dwl2_1
iLISI_median,9.844920642179183,global,immune_integration_rna_embryo_es2_no_tea_dwl2_1
iLISI_mean,10.996550721671296,global,immune_integration_rna_embryo_es2_no_tea_dwl2_1
cLISI_median,2.2174589489389365,global,immune_integration_rna_embryo_es2_no_tea_dwl2_1
cLISI_mean,2.463691478416533,global,immune_integration_rna_embryo_es2_no_tea_dwl2_1
LISI_subsample_n,31420.0,global,immune_integration_rna_embryo_es2_no_tea_dwl2_1
silhouette_batch_bone_marrow,-0.012825359529098,per_study,immune_integration_rna_embryo_es2_no_tea_dwl2_1
silhouette_batch_crohns_pbmc,-0.006220680862037075,per_study,immune_integration_rna_embryo_es2_no_tea_dwl2_1
silhouette_batch_lung_spleen_gse319044,0.0010923265578699883,per_study,immune_integration_rna_embryo_es2_no_tea_dwl2_1
silhouette_label,0.01501174311774338,global,immune_integration_rna_embryo_es2_no_tea_dwl2_10
silhouette_batch,-0.014290971042860047,global,immune_integration_rna_embryo_es2_no_tea_dwl2_10
ARI_leiden_vs_label,0.14953300731695673,global,immune_integration_rna_embryo_es2_no_tea_dwl2_10
NMI_leiden_vs_label,0.5012997965950985,global,immune_integration_rna_embryo_es2_no_tea_dwl2_10
iLISI_median,6.542324684420441,global,immune_integration_rna_embryo_es2_no_tea_dwl2_10
iLISI_mean,7.883037924880171,global,immune_integration_rna_embryo_es2_no_tea_dwl2_10
cLISI_median,1.7774194888623225,global,immune_integration_rna_embryo_es2_no_tea_dwl2_10
cLISI_mean,2.0081256065635666,global,immune_integration_rna_embryo_es2_no_tea_dwl2_10
LISI_subsample_n,31420.0,global,immune_integration_rna_embryo_es2_no_tea_dwl2_10
silhouette_batch_bone_marrow,-0.016416401441697245,per_study,immune_integration_rna_embryo_es2_no_tea_dwl2_10
silhouette_batch_crohns_pbmc,-0.008090147476608304,per_study,immune_integration_rna_embryo_es2_no_tea_dwl2_10
silhouette_batch_lung_spleen_gse319044,0.0032130013368371737,per_study,immune_integration_rna_embryo_es2_no_tea_dwl2_10
silhouette_label,0.01938090128434637,global,immune_integration_rna_embryo_es2_no_tea_small
silhouette_batch,-0.011738137280633882,global,immune_integration_rna_embryo_es2_no_tea_small
ARI_leiden_vs_label,0.18616086678577112,global,immune_integration_rna_embryo_es2_no_tea_small
NMI_leiden_vs_label,0.5551053628370906,global,immune_integration_rna_embryo_es2_no_tea_small
iLISI_median,8.358808140348007,global,immune_integration_rna_embryo_es2_no_tea_small
iLISI_mean,10.70025706519259,global,immune_integration_rna_embryo_es2_no_tea_small
cLISI_median,1.5564095300634868,global,immune_integration_rna_embryo_es2_no_tea_small
cLISI_mean,1.774364157552198,global,immune_integration_rna_embryo_es2_no_tea_small
LISI_subsample_n,31420.0,global,immune_integration_rna_embryo_es2_no_tea_small
silhouette_batch_bone_marrow,-0.010160127190031298,per_study,immune_integration_rna_embryo_es2_no_tea_small
silhouette_batch_crohns_pbmc,-0.004983231428466067,per_study,immune_integration_rna_embryo_es2_no_tea_small
silhouette_batch_lung_spleen_gse319044,-0.0015017866929957005,per_study,immune_integration_rna_embryo_es2_no_tea_small
silhouette_label,0.018213726617737156,global,immune_integration_rna_embryo_es2_no_tea_small_disp1
silhouette_batch,-0.011755465449395212,global,immune_integration_rna_embryo_es2_no_tea_small_disp1
ARI_leiden_vs_label,0.2554461580571011,global,immune_integration_rna_embryo_es2_no_tea_small_disp1
NMI_leiden_vs_label,0.5929228081383776,global,immune_integration_rna_embryo_es2_no_tea_small_disp1
iLISI_median,8.847422642215726,global,immune_integration_rna_embryo_es2_no_tea_small_disp1
iLISI_mean,11.241749084753694,global,immune_integration_rna_embryo_es2_no_tea_small_disp1
cLISI_median,1.666272127407642,global,immune_integration_rna_embryo_es2_no_tea_small_disp1
cLISI_mean,1.9027617518733688,global,immune_integration_rna_embryo_es2_no_tea_small_disp1
LISI_subsample_n,31420.0,global,immune_integration_rna_embryo_es2_no_tea_small_disp1
silhouette_batch_bone_marrow,-0.011687920986760556,per_study,immune_integration_rna_embryo_es2_no_tea_small_disp1
silhouette_batch_crohns_pbmc,-0.003287805423745717,per_study,immune_integration_rna_embryo_es2_no_tea_small_disp1
silhouette_batch_lung_spleen_gse319044,-0.0035069720523614456,per_study,immune_integration_rna_embryo_es2_no_tea_small_disp1
silhouette_label,0.022726515645100535,global,immune_integration_rna_embryo_es2_no_tea_small_disp1_dwl2_1
silhouette_batch,-0.012122869400423014,global,immune_integration_rna_embryo_es2_no_tea_small_disp1_dwl2_1
ARI_leiden_vs_label,0.24684258233046727,global,immune_integration_rna_embryo_es2_no_tea_small_disp1_dwl2_1
NMI_leiden_vs_label,0.5920519704215446,global,immune_integration_rna_embryo_es2_no_tea_small_disp1_dwl2_1
iLISI_median,7.716197668526372,global,immune_integration_rna_embryo_es2_no_tea_small_disp1_dwl2_1
iLISI_mean,10.473579495456748,global,immune_integration_rna_embryo_es2_no_tea_small_disp1_dwl2_1
